DeveloperId,Name,Centrality
sa-sh,sa-sh,0.8310959150843207
Jukka Harkki,Jukka Harkki,0.7960094285650331
Sven Amann,Sven Amann,0.7700945512383711
Macromogic,Macromogic,0.7678065522744784
Serhiy Yakovyn,Serhiy Yakovyn,0.7201392496042871
Gajendra Jatav,Gajendra Jatav,0.5465912583603244
Rasmus Faber-Espensen,Rasmus Faber-Espensen,0.507213543078978
Jaspreet Singh1,Jaspreet Singh1,0.4842072860114097
Shivam Tyagi1,Shivam Tyagi1,0.4842072860114097
nuviosoftware,nuviosoftware,0.458588522545314
Simon Voges,Simon Voges,0.458588522545314
SuperPat,SuperPat,0.44251192598630945
josef,josef,0.3525808686038825
Tom Klonikowski,Tom Klonikowski,0.0
weiyeh,weiyeh,0.0
Marin Marzic,Marin Marzic,0.0
Max Semenov,Max Semenov,0.0
Steven,Steven,0.0
Spencer Kathol,Spencer Kathol,0.0
kulatamicuda,kulatamicuda,0.0
Art Krahenbuhl,Art Krahenbuhl,0.0
Ben Golder,Ben Golder,0.0
Juha Jokimäki,Juha Jokimäki,0.0
Juha Jokimaki,Juha Jokimaki,0.0
Nils Winkler,Nils Winkler,0.0
Benjamin Golder,Benjamin Golder,0.0
dracwyrm,dracwyrm,0.0
Renier,Renier,0.0
byron.long,byron.long,0.0
René Bergelt,René Bergelt,0.0
tlxtellef,tlxtellef,0.0
The Gitter Badger,The Gitter Badger,0.0
dan.schmidt1@gmail.com,dan.schmidt1@gmail.com,0.0
junglue,junglue,0.0
roschdal,roschdal,0.0
Arthur Blake,Arthur Blake,0.0
Evgeniy Sokolov,Evgeniy Sokolov,0.0
andreasrosdal,andreasrosdal,0.0
Sean Sullivan,Sean Sullivan,0.0
Simon Sobisch,Simon Sobisch,0.0
Chris Barham,Chris Barham,0.0
Victor,Victor,0.0
V-F,V-F,0.0
Thomas Ritter,Thomas Ritter,0.0
arw,arw,0.0
Marton Fono,Marton Fono,0.0
Michael Mosmann,Michael Mosmann,0.0
Aditya Pal,Aditya Pal,0.0
Tobias,Tobias,0.0
suiaing,suiaing,0.0
grenouille62,grenouille62,0.0
Prashant Bhat,Prashant Bhat,0.0
dependabot[bot],dependabot[bot],0.0
Abdullah Çevik,Abdullah Çevik,0.0
chrismaster,chrismaster,0.0
Chris Master,Chris Master,0.0
SIX,SIX,0.0
Karol Bryd,Karol Bryd,0.0
Bruno Melo,Bruno Melo,0.0
mspnr,mspnr,0.0
Mahdi Lamb,Mahdi Lamb,0.0
Youssef HARRATI,Youssef HARRATI,0.0
macromogic,macromogic,0.0
Jakub Herkel,Jakub Herkel,0.0
Maxim Smirnov,Maxim Smirnov,0.0
Dmytro Mula,Dmytro Mula,0.0
Brad Hards,Brad Hards,0.0
Nick Mueller,Nick Mueller,0.0
Davide Raccagni,Davide Raccagni,0.0
Tom Yam,Tom Yam,0.0
Tobias Liefke,Tobias Liefke,0.0
Till Kaufmann,Till Kaufmann,0.0
Naveen,Naveen,0.0
nathannaveen,nathannaveen,0.0
Jeffrey Knight,Jeffrey Knight,0.0
Moritz,Moritz,0.0
Koen van Besien,Koen van Besien,0.0
MichaelBiesmann,MichaelBiesmann,0.0
Christian Oyarzun,Christian Oyarzun,0.0
SIX Douglas,SIX Douglas,0.0
Juraj Andrássy,Juraj Andrássy,0.0
tstevens,tstevens,0.0
Ivan Stefanischin,Ivan Stefanischin,0.0
Lucian Chirita,Lucian Chirita,0.0
Andrei Solntsev,Andrei Solntsev,0.0
John Harelius,John Harelius,0.0
Anton Leliuk,Anton Leliuk,0.0
Markus Kilås,Markus Kilås,0.0
Michael Pichler,Michael Pichler,0.0
Jason Klinger,Jason Klinger,0.0
Joost Zöllner,Joost Zöllner,0.0
